x1,y1,z1,x2,y2,z2
-921.056,-1014.461,22.940,-921.618,-1014.744,21.973
-921.063,-1014.535,23.040,-921.560,-1014.360,22.001
-921.047,-1014.433,22.676,-921.684,-1014.386,22.814
-921.103,-1014.557,22.398,-921.716,-1014.651,22.275
-921.127,-1014.693,22.998,-921.764,-1014.240,22.938
-921.131,-1014.735,23.297,-921.725,-1014.504,22.874
-921.211,-1014.582,21.994,-921.572,-1014.343,22.528
-921.246,-1014.706,21.718,-921.677,-1014.245,22.750
-921.172,-1014.508,23.648,-921.712,-1014.770,22.080
-921.048,-1014.465,23.290,-921.586,-1014.694,21.924
-921.224,-1014.633,22.135,-921.676,-1014.299,22.875
-921.155,-1014.571,23.590,-921.628,-1014.525,22.665
-921.062,-1014.420,22.786,-921.540,-1014.555,22.419
-921.126,-1014.410,23.680,-921.721,-1014.772,22.088
-921.127,-1014.698,23.310,-921.629,-1014.347,22.877
-921.169,-1014.456,21.924,-921.653,-1014.763,22.056
-921.256,-1014.732,21.880,-921.540,-1014.226,21.586
-921.108,-1014.617,22.875,-921.676,-1014.802,21.911
-921.252,-1014.696,22.064,-921.747,-1014.703,22.174
-921.139,-1014.429,23.654,-921.596,-1014.582,22.131
-921.255,-1014.698,21.902,-921.614,-1014.150,22.457
-921.060,-1014.419,22.998,-921.693,-1014.289,22.837
-921.143,-1014.751,23.277,-921.607,-1014.682,22.086
-921.222,-1014.645,21.873,-921.502,-1014.329,21.690
-921.212,-1014.554,21.446,-921.608,-1014.676,22.087
-921.155,-1014.519,23.692,-921.589,-1014.586,22.183
-921.257,-1014.708,22.104,-921.534,-1014.404,22.146
-921.126,-1014.689,22.989,-921.573,-1014.367,22.076
-921.261,-1014.727,21.908,-921.613,-1014.725,21.981
-921.160,-1014.493,23.615,-921.542,-1014.289,22.414
-921.160,-1014.783,22.314,-921.735,-1014.151,22.509
-921.214,-1014.563,21.733,-921.544,-1014.286,21.865
-921.214,-1014.613,22.089,-921.759,-1014.704,22.180
-921.074,-1014.514,22.440,-921.620,-1014.256,22.047
-921.154,-1014.746,22.780,-921.668,-1014.622,22.282
-921.138,-1014.417,23.618,-921.634,-1014.253,22.677
-921.047,-1014.433,22.881,-921.612,-1014.550,22.280
-921.058,-1014.463,23.192,-921.657,-1014.759,22.050
